"KEGG_ID"	"ENTREZID"	"SYMBOL"	"PATHWAY"
"256"	"mmu00053"	"72094"	"Ugt2a3"	"Ascorbate and aldarate metabolism"
"257"	"mmu00053"	"72535"	"Aldh1b1"	"Ascorbate and aldarate metabolism"
"258"	"mmu00053"	"94215"	"Ugt2a1"	"Ascorbate and aldarate metabolism"
"259"	"mmu00053"	"94284"	"Ugt1a6a"	"Ascorbate and aldarate metabolism"
"260"	"mmu00061"	"100705"	"Acacb"	"Fatty acid biosynthesis"
"261"	"mmu00061"	"107476"	"Acaca"	"Fatty acid biosynthesis"
"262"	"mmu00061"	"14081"	"Acsl1"	"Fatty acid biosynthesis"
"263"	"mmu00061"	"14104"	"Fasn"	"Fatty acid biosynthesis"
"264"	"mmu00061"	"216739"	"Acsl6"	"Fatty acid biosynthesis"
"265"	"mmu00061"	"223722"	"Mcat"	"Fatty acid biosynthesis"
"266"	"mmu00061"	"328845"	"Acsbg2"	"Fatty acid biosynthesis"
"267"	"mmu00061"	"433256"	"Acsl5"	"Fatty acid biosynthesis"
"268"	"mmu00061"	"50790"	"Acsl4"	"Fatty acid biosynthesis"
"269"	"mmu00061"	"71147"	"Oxsm"	"Fatty acid biosynthesis"
"270"	"mmu00061"	"74205"	"Acsl3"	"Fatty acid biosynthesis"
"271"	"mmu00061"	"78625"	"1700061G19Rik"	"Fatty acid biosynthesis"
"272"	"mmu00061"	"94180"	"Acsbg1"	"Fatty acid biosynthesis"
"273"	"mmu00061"	"99035"	"Olah"	"Fatty acid biosynthesis"
"274"	"mmu00062"	"106529"	"Tecr"	"Fatty acid elongation"
"275"	"mmu00062"	"12686"	"Elovl3"	"Fatty acid elongation"
"276"	"mmu00062"	"15107"	"Hadh"	"Fatty acid elongation"
"277"	"mmu00062"	"170439"	"Elovl6"	"Fatty acid elongation"
"278"	"mmu00062"	"171210"	"Acot2"	"Fatty acid elongation"
"279"	"mmu00062"	"171281"	"Acot3"	"Fatty acid elongation"
"280"	"mmu00062"	"171282"	"Acot4"	"Fatty acid elongation"
"281"	"mmu00062"	"19063"	"Ppt1"	"Fatty acid elongation"
"282"	"mmu00062"	"216169"	"Abhd17a"	"Fatty acid elongation"
"283"	"mmu00062"	"217698"	"Acot5"	"Fatty acid elongation"
"284"	"mmu00062"	"226016"	"Abhd17b"	"Fatty acid elongation"
"285"	"mmu00062"	"231086"	"Hadhb"	"Fatty acid elongation"
"286"	"mmu00062"	"26897"	"Acot1"	"Fatty acid elongation"
"287"	"mmu00062"	"26922"	"Mecr"	"Fatty acid elongation"
"288"	"mmu00062"	"30963"	"Hacd1"	"Fatty acid elongation"
"289"	"mmu00062"	"52538"	"Acaa2"	"Fatty acid elongation"
"290"	"mmu00062"	"54325"	"Elovl1"	"Fatty acid elongation"
"291"	"mmu00062"	"54326"	"Elovl2"	"Fatty acid elongation"
"292"	"mmu00062"	"54397"	"Ppt2"	"Fatty acid elongation"
"293"	"mmu00062"	"56348"	"Hsd17b12"	"Fatty acid elongation"
"294"	"mmu00062"	"57874"	"Hacd3"	"Fatty acid elongation"
"295"	"mmu00062"	"66198"	"Them5"	"Fatty acid elongation"
"296"	"mmu00062"	"66775"	"Hacd4"	"Fatty acid elongation"
"297"	"mmu00062"	"68801"	"Elovl5"	"Fatty acid elongation"
"298"	"mmu00062"	"70025"	"Acot7"	"Fatty acid elongation"
"299"	"mmu00062"	"70178"	"Abhd17c"	"Fatty acid elongation"
"300"	"mmu00062"	"70757"	"Hacd2"	"Fatty acid elongation"
"301"	"mmu00062"	"74559"	"Elovl7"	"Fatty acid elongation"
"302"	"mmu00062"	"75778"	"Them4"	"Fatty acid elongation"
"303"	"mmu00062"	"83603"	"Elovl4"	"Fatty acid elongation"
"304"	"mmu00062"	"93747"	"Echs1"	"Fatty acid elongation"
"305"	"mmu00062"	"97212"	"Hadha"	"Fatty acid elongation"
"306"	"mmu00071"	"100040843"	"Cyp4a32"	"Fatty acid degradation"
"307"	"mmu00071"	"110446"	"Acat1"	"Fatty acid degradation"
"308"	"mmu00071"	"110460"	"Acat2"	"Fatty acid degradation"
"309"	"mmu00071"	"110695"	"Aldh7a1"	"Fatty acid degradation"
"310"	"mmu00071"	"11363"	"Acadl"	"Fatty acid degradation"
"311"	"mmu00071"	"11364"	"Acadm"	"Fatty acid degradation"
"312"	"mmu00071"	"11370"	"Acadvl"	"Fatty acid degradation"
"313"	"mmu00071"	"113868"	"Acaa1a"	"Fatty acid degradation"
"314"	"mmu00071"	"11409"	"Acads"	"Fatty acid degradation"
"315"	"mmu00071"	"11430"	"Acox1"	"Fatty acid degradation"
"316"	"mmu00071"	"11522"	"Adh1"	"Fatty acid degradation"
"317"	"mmu00071"	"11529"	"Adh7"	"Fatty acid degradation"
"318"	"mmu00071"	"11532"	"Adh5"	"Fatty acid degradation"
"319"	"mmu00071"	"11669"	"Aldh2"	"Fatty acid degradation"
"320"	"mmu00071"	"11671"	"Aldh3a2"	"Fatty acid degradation"
"321"	"mmu00071"	"12894"	"Cpt1a"	"Fatty acid degradation"
"322"	"mmu00071"	"12895"	"Cpt1b"	"Fatty acid degradation"
"323"	"mmu00071"	"12896"	"Cpt2"	"Fatty acid degradation"
"324"	"mmu00071"	"13117"	"Cyp4a10"	"Fatty acid degradation"
